Date Created,Username,Tweets
"(2022, 12, 25)",karan_pargal,"Day 1/100 of #100DaysOfCode 
Learned how to connect frontend with smart contracts and finished whitelisting dApp.
Hosted at:
https://t.co/RnrOK28Gn3
Thanks to @LearnWeb3DAO for the brilliant course."
"(2022, 10, 25)",omkargujja,"Continuing the #100DaysOfCode after exams and a short break.

Day 19 of #100DaysOfCode 
-&gt; Completed the Freshman track✅

@LearnWeb3DAO #LearnInPublic https://t.co/oI3rqsHWNo"
"(2022, 10, 25)",bxtz_eth,"Day  53 -55 of #100daysofweb3 
#100daysofcode

Worked and completed the last two projects on 
@LearnWeb3DAO Junior Track 

Now a junior Gradaute
#100daysofweb3 
#30daysofweb3 
#blockchain 
#web3
#90DaysOfBlockchai https://t.co/ZmzZvzoFgG"
"(2022, 9, 25)",bxtz_eth,"Day  25 of #100daysofweb3 

Completed the ICO Project
@LearnWeb3DAO
 Sophomore Course 

Continued Learning More From @PatrickAlphaC YouTube Video
13hrs Done

 #100daysofweb3 #100daysofcode
 #30daysofweb3 
#blockchain #web3"
"(2022, 9, 25)",elaine_28_10,"Day 41
completed with the sophomore track of @LearnWeb3DAO  after long. The last one was hard still now it is completed.
Shifted all my codes to goerli network too.
#100DaysOfCode 
#100daysofblockchain
#100DaysOfWeb3 https://t.co/DhY2bxzdzh"
"(2022, 8, 25)",RobotProxyWar,"Day 87 of #100DaysOfCode:
More work on @LearnWeb3DAO 
Checked out Axiom, brushed up on GraphQL, and worked on a side project.  Productive day!"
"(2022, 8, 25)",Ayush9130,"Day 32 , 33 , 34 @LearnWeb3DAO
Sophomore Track Completed
Level 11 - Defi-Exchange
Project link : https://t.co/qI2K94ncJy
#100DaysOfCode #100DaysOfWeb3 #100daysofblockchain"
"(2022, 7, 25)",arunkc97,"Day 1 of #100DaysOfWeb3

I'm restarting my learning journey again. ⚡ 

Started sophomore track of  @LearnWeb3DAO
Brushed up React by going through level 0

⚡ Components, React Hooks, Next

#wagmi 🚀
#100DaysOfCode https://t.co/XmDK4WCEOw"
"(2022, 6, 25)",Igni_Casamento,"Day 15 of #100DaysOfWeb3 Learned about ENS.
Do you know what is it? 
@LearnWeb3DAO #100DaysOfCode #web3community 
A thread 🧵↓"
"(2022, 6, 25)",VidallWilliams,Day 5 of #100daysofcode #100daysofcodechallenge almost ready to graduate from @LearnWeb3DAO freshman course. Learning web 3 this in depth is insanely fun. Once I finish I'm gonna brush up on some react and learn next while I get ready for the harder stuff https://t.co/haMXcwwrMv
"(2022, 5, 25)",ceonyema_,"I recently completed my sophomore level after finishing my freshman track @LearnWeb3DAO .

Building the UI with nextjs has to be the best of this track for me.

Thank you to the fantastic community and @LarryCutts6 for your help along the way.

#100DaysOfCode #100DaysOfWeb3 https://t.co/hfindOaOJS"
"(2022, 4, 25)",FaithAdemola,"1. Learnweb3Dao -&gt; https://t.co/HWvPl5yUsO
This is the best one so far and I am currently learning here. So check it out @LearnWeb3DAO 

#100DaysOfCode"
"(2022, 4, 25)",arunkc97,"Day 75 of #100DaysOfWeb3

On hold on @LearnWeb3DAO tracks. Slowly going through @CodiesAlert2021 #solidity course. 🙌 Will be having a connect with team members for chainlink hackathon.  ✌️ 

#wagmi 🚀
#100DaysOfCode"
"(2022, 3, 25)",DevAdedeji,"If you want to get started in Web3, do check out @LearnWeb3DAO

Nice curriculum, you learn by building projects.
Started some days ago, built my first dApp, a token and NFT. 

#100DaysOfCode #100DaysOfWeb3"
"(2022, 2, 25)",arunkc97,"Day 20 of #100DaysOfWeb3

Still on level 0 @LearnWeb3DAO 😆 and still working on the React solo project - Quiz game 🙌 

Feeling a bit of burnout now. Couldn't do much today 😩 Thinking of taking a break for a day or two. 

#wagmi 🚀
#100DaysOfCode"
"(2022, 1, 25)",LeratoRampai1,"Day 11
Done with level 6 of @LearnWeb3DAO 

Learned theory solidity today, have been working on this for @Working4Climate
Slowly getting there
#100DaysOfCode #100daysofcodechallenge https://t.co/bBomz1X5kz"
